id,question,query
G021,Not moving Inventory since last 1 year,"WITH base_data AS (
 SELECT
 tv.guid,
 tv.date,
 tv.voucher_number,
 tv.voucher_type,
 tv.party_name,
 ml.name AS ledger_name,
 mg.name AS ledger_group,
 ta.amount
 FROM trn_voucher tv
 JOIN trn_accounting ta ON tv.guid = ta.guid
 JOIN mst_ledger ml ON ta._ledger = ml.guid
 JOIN mst_group mg ON ml._parent = mg.guid
 WHERE
 tv.is_order_voucher = 0
 AND LOWER(tv.voucher_type) LIKE '%sales%'
 AND tv.date BETWEEN '2022-04-01' AND '2023-03-31'
),
inventory_data AS (
 SELECT
 ti.guid,
 si.name AS item_name,
 ABS(ti.quantity) AS quantity,
 ABS(ti.rate) AS rate,
 ABS(ti.amount) AS item_value
 FROM trn_inventory ti
 JOIN mst_stock_item si ON ti._item = si.guid
 WHERE ti.quantity < 0 -- Outward movement for sales
),
tax_data AS (
 SELECT
 guid,
 SUM(CASE
 WHEN LOWER(REPLACE(ledger_name,' ','')) LIKE '%outputcgst%'
 OR LOWER(REPLACE(ledger_name,' ','')) LIKE '%cgst%'
 THEN ABS(amount)
 ELSE 0
 END) AS cgst,
 SUM(CASE
 WHEN LOWER(REPLACE(ledger_name,' ','')) LIKE '%outputsgst%'
 OR LOWER(REPLACE(ledger_name,' ','')) LIKE '%sgst%'
 THEN ABS(amount)
 ELSE 0
 END) AS sgst,
 SUM(CASE
 WHEN LOWER(REPLACE(ledger_name,' ','')) LIKE '%outputigst%'
 OR LOWER(REPLACE(ledger_name,' ','')) LIKE '%igst%'
 THEN ABS(amount)
 ELSE 0
 END) AS igst,
 SUM(CASE
 WHEN LOWER(ledger_name) LIKE '%discount%'
 OR LOWER(ledger_name) LIKE '%rebate%'
 OR LOWER(ledger_name) LIKE '%scheme%'
 THEN ABS(amount)
 ELSE 0
 END) AS discount
 FROM base_data
 GROUP BY guid
)
SELECT
 tv.date,
 tv.voucher_number,
 tv.voucher_type,
 tv.party_name,
 i.item_name,
 i.quantity,
 i.rate,
 i.item_value AS taxable_value,
 t.discount,
 t.cgst,
 t.sgst,
 t.igst,
 (t.cgst + t.sgst + t.igst) AS total_gst,
 (i.item_value + t.cgst + t.sgst + t.igst) AS invoice_total
FROM trn_voucher tv
JOIN inventory_data i ON tv.guid = i.guid
LEFT JOIN tax_data t ON tv.guid = t.guid
WHERE
 LOWER(tv.voucher_type) LIKE '%sales%'
 AND tv.date BETWEEN '2020-04-01' AND '2020-04-30'
ORDER BY
 tv.date,
 tv.voucher_number,
 i.item_name;"
G022,How much did we spend in April 2020?,"WITH ItemMovement AS (
 SELECT
 ti._item,
 SUM(ABS(ti.quantity)) AS qty_movement
 FROM
 trn_inventory ti
 JOIN
 trn_voucher tv ON ti.guid = tv.guid
 WHERE
 tv.date BETWEEN '2020-04-01' AND '2021-03-31'
 GROUP BY
 ti._item
)
SELECT
 msi.name AS item_name,
 COALESCE(msi.closing_balance,0) AS closing_quantity,
 COALESCE(msi.closing_value,0) AS closing_value
FROM
 mst_stock_item msi
LEFT JOIN
 ItemMovement im ON msi.guid = im._item
WHERE
 COALESCE(im.qty_movement,0) = 0
ORDER BY
 msi.name;"
G023,How much did we spend last month?,"SELECT SUM(ABS(ta.amount)) FROM trn_accounting ta JOIN trn_voucher tv ON ta.guid = tv.guid WHERE tv.date >= '2020-04-01' AND tv.date <= '2020-04-30' AND tv.voucher_type IN ('Payment', 'Purchase') AND ta.amount < 0;"
G024,What are the top expenses this month?,"SELECT SUM(ABS(ta.amount)) FROM trn_accounting ta JOIN trn_voucher tv ON ta.guid = tv.guid WHERE tv.date >= '2020-04-01' AND tv.date <= '2020-04-30' AND tv.voucher_type IN ('Payment', 'Purchase') AND ta.amount < 0;"
G025,What is the balance in the Cash ledger?,"SELECT ml.name AS ledger_name, SUM(CASE WHEN ta.amount < 0 THEN ABS(ta.amount) ELSE 0 END) AS total_debit, SUM(CASE WHEN ta.amount > 0 THEN ta.amount ELSE 0 END) AS total_credit, SUM(ta.amount) AS net_amount FROM mst_ledger ml LEFT JOIN ( SELECT ta.ledger, ta.amount FROM trn_accounting ta JOIN trn_voucher tv ON ta.guid = tv.guid WHERE (tv.is_order_voucher = 0) AND (tv.is_inventory_voucher = 0) AND tv.date >= '2020-05-01' AND tv.date <= '2020-05-31' ) ta ON ml.name = ta.ledger WHERE ml.parent = 'Indirect Expenses' GROUP BY ml.name HAVING SUM(CASE WHEN ta.amount < 0 THEN ABS(ta.amount) ELSE 0 END) > 0 OR SUM(CASE WHEN ta.amount > 0 THEN ta.amount ELSE 0 END) > 0 ORDER BY total_debit DESC;"
G026,How much do we owe to creditors?,"WITH monthly_cash AS (SELECT EXTRACT(YEAR FROM tv.date) as year, EXTRACT(MONTH FROM tv.date) as month, TO_CHAR(tv.date, 'Month') as month_name, SUM(ta.amount) as net_amount FROM trn_accounting ta JOIN trn_voucher tv ON ta.guid = tv.guid JOIN mst_ledger ml ON ta.ledger = ml.name WHERE (tv.is_order_voucher = 0) AND (tv.is_inventory_voucher = 0) AND ml.name = 'Cash' AND tv.date BETWEEN '2020-04-01' AND '2021-03-31' GROUP BY EXTRACT(YEAR FROM tv.date), EXTRACT(MONTH FROM tv.date), TO_CHAR(tv.date, 'Month')), opening_balance AS (SELECT opening_balance as cash_opening FROM mst_ledger WHERE name = 'Cash') SELECT month_name, year, month, net_amount, (SELECT cash_opening FROM opening_balance) + SUM(net_amount) OVER (ORDER BY year, month ROWS UNBOUNDED PRECEDING) as closing_balance FROM monthly_cash ORDER BY year, month;"
G027,Who are our debtors and how much do they owe?,"SELECT ml.name as creditor_name, ml.opening_balance, COALESCE(trans.net_amount, 0) as net_transactions, (ml.opening_balance + COALESCE(trans.net_amount, 0)) as outstanding_amount FROM mst_ledger ml LEFT JOIN ( SELECT ta.ledger, SUM(ta.amount) as net_amount FROM trn_accounting ta JOIN trn_voucher tv ON ta.guid = tv.guid WHERE (tv.is_order_voucher = 0) AND (tv.is_inventory_voucher = 0) AND EXTRACT(YEAR FROM tv.date) = 2021 GROUP BY ta.ledger ) trans ON ml.name = trans.ledger WHERE ml.parent = 'Sundry Creditors' AND (ml.opening_balance + COALESCE(trans.net_amount, 0)) != 0 ORDER BY outstanding_amount DESC;"
G028,What's the closing balance for the Bank account?,"SELECT
 ml.name AS ledger_name,
 CASE
 WHEN ml.closing_balance > 0 THEN ABS(ml.closing_balance)
 ELSE 0
 END AS credit_balance,
 CASE
 WHEN ml.closing_balance < 0 THEN ABS(ml.closing_balance)
 ELSE 0
 END AS debit_balance,
 ml.closing_balance AS actual_balance
FROM mst_ledger AS ml
JOIN mst_group AS mg
 ON ml._parent = mg.guid
WHERE
 mg.primary_group = 'Sundry Debtors'
ORDER BY ml.name;"
G029,Give me a list of all ledger balances.,"SELECT name, closing_balance FROM mst_ledger WHERE bank_account_number IS NOT NULL AND bank_account_number != '';"
G030,Show all vouchers for today.,"SELECT name, closing_balance FROM mst_ledger;"
G031,List all purchase vouchers for April.,"SELECT
 MAX(tv.date) AS date,
 MAX(tv.narration) AS narration,
 tv.voucher_type,
 tv.voucher_number,
 ml.name AS ledger_name,
 SUM(CASE WHEN ta.amount > 0 THEN ta.amount ELSE 0 END) AS total_debit,
 SUM(CASE WHEN ta.amount < 0 THEN ABS(ta.amount) ELSE 0 END) AS total_credit
FROM trn_voucher tv
JOIN trn_accounting ta
 ON tv.guid = ta.guid
JOIN mst_ledger ml
 ON ta._ledger = ml.guid
WHERE tv.date = '2020-06-30'
GROUP BY
 tv.voucher_type,
 tv.voucher_number,
 ml.name
ORDER BY
 tv.voucher_type,
 tv.voucher_number,
 ml.name;"
G032,Show me all journal entries made yesterday.,"WITH base_data AS (
 SELECT
 tv.guid,
 tv.date,
 tv.voucher_number,
 tv.voucher_type,
 tv.party_name,
 ml.name AS ledger_name,
 mg.name AS ledger_group,
 ta.amount
 FROM trn_voucher tv
 JOIN trn_accounting ta ON tv.guid = ta.guid
 JOIN mst_ledger ml ON ta._ledger = ml.guid
 JOIN mst_group mg ON ml._parent = mg.guid
 WHERE
 tv.is_order_voucher = 0
 AND tv.is_inventory_voucher = 0
 AND LOWER(tv.voucher_type) LIKE '%purchase%'
 AND tv.date BETWEEN '2020-05-01' AND '2020-05-31'
),
inventory_data AS (
 SELECT
 guid,
 SUM(ABS(quantity)) AS total_quantity
 FROM trn_inventory
 WHERE quantity > 0
 GROUP BY guid
),
aggregated_data AS (
 SELECT
 b.date,
 b.voucher_number,
 b.voucher_type,
 b.party_name,
 b.guid,
 /* Taxable Value */
 SUM(CASE
 WHEN b.ledger_group IN ('Purchase Accounts')
 THEN ABS(b.amount) ELSE 0 END
 ) AS taxable_value,
 /* Discounts */
 SUM(CASE
 WHEN LOWER(b.ledger_name) LIKE '%discount%'
 OR LOWER(b.ledger_name) LIKE '%incentive%'
 OR LOWER(b.ledger_name) LIKE '%margin%'
 THEN ABS(b.amount) ELSE 0 END
 ) AS total_discount,
 /* GST */
 SUM(CASE
 WHEN LOWER(REPLACE(b.ledger_name,' ','')) LIKE '%inputcgst%'
 OR LOWER(REPLACE(b.ledger_name,' ','')) LIKE '%cgst%'
 THEN ABS(b.amount)
 ELSE 0
 END) AS cgst,
 SUM(CASE
 WHEN LOWER(REPLACE(b.ledger_name,' ','')) LIKE '%inputsgst%'
 OR LOWER(REPLACE(b.ledger_name,' ','')) LIKE '%sgst%'
 THEN ABS(b.amount)
 ELSE 0
 END) AS sgst,
 SUM(CASE
 WHEN LOWER(REPLACE(b.ledger_name,' ','')) LIKE '%inputigst%'
 OR LOWER(REPLACE(b.ledger_name,' ','')) LIKE '%igst%'
 THEN ABS(b.amount)
 ELSE 0
 END) AS igst,
 COALESCE(MAX(i.total_quantity),0) AS total_quantity
 FROM base_data b
 LEFT JOIN inventory_data i ON b.guid = i.guid
 GROUP BY
 b.date,
 b.voucher_number,
 b.voucher_type,
 b.party_name,
 b.guid
)
SELECT
 date,
 voucher_number,
 voucher_type,
 party_name,
 total_quantity,
 (taxable_value + total_discount) AS gross_purchase_value,
 total_discount,
 taxable_value,
 cgst,
 sgst,
 igst,
 (cgst + sgst + igst) AS total_gst,
 (taxable_value + cgst + sgst + igst) AS invoice_total
FROM aggregated_data
ORDER BY date, voucher_number;"
G033,Which inventory items currently have fewer than 10 units in stock?,"SELECT tv.voucher_number, tv.date, tv.narration, tv.party_name FROM trn_voucher AS tv JOIN mst_vouchertype AS mv ON tv._voucher_type = mv.guid WHERE mv.name = 'Journal' AND tv.date = '2020-06-29';"
G034,What's the total amount our customers owe us as of today?,"SELECT name, closing_balance FROM mst_stock_item WHERE closing_balance < 10;"
G035,Which months experienced negative cash flow?,"WITH CustomerLedgers AS (SELECT guid, opening_balance FROM mst_ledger WHERE parent = 'DISTRIBUTORS'), TransactionAmounts AS (SELECT ta._ledger, SUM(ta.amount) AS ledger_transaction_amount FROM trn_accounting ta JOIN trn_voucher tv ON ta.guid = tv.guid WHERE tv.date <= '2020-06-30' AND ta._ledger IN (SELECT guid FROM CustomerLedgers) GROUP BY ta._ledger) SELECT - SUM(COALESCE(cl.opening_balance, 0) + COALESCE(ta.ledger_transaction_amount, 0)) AS total_amount_owed FROM CustomerLedgers cl LEFT JOIN TransactionAmounts ta ON cl.guid = ta._ledger;"
G036,How much revenue have we booked in this financial year?,"SELECT EXTRACT(YEAR FROM tv.date) AS year, EXTRACT(MONTH FROM tv.date) AS month FROM trn_accounting AS ta JOIN trn_voucher AS tv ON ta.guid = tv.guid WHERE ta._ledger = ( SELECT guid FROM mst_ledger WHERE name = 'Cash' LIMIT 1 ) GROUP BY EXTRACT(YEAR FROM tv.date), EXTRACT(MONTH FROM tv.date) HAVING SUM(ta.amount) > 0 ORDER BY year, month;"
G037,What's the total value of purchases we made this quarter?,"WITH FinancialYear AS ( SELECT value AS period_from FROM config WHERE name = 'Period From' ), FinancialYearEnd AS ( SELECT value AS period_to FROM config WHERE name = 'Period To' ) SELECT SUM(ta.amount) AS total_revenue FROM trn_accounting AS ta JOIN trn_voucher AS tv ON ta.guid = tv.guid JOIN mst_ledger AS ml ON ta._ledger = ml.guid JOIN mst_group AS mg ON ml._parent = mg.guid JOIN FinancialYear AS fy ON tv.date >= fy.period_from :: DATE JOIN FinancialYearEnd AS fye ON tv.date <= fye.period_to :: DATE WHERE mg.is_revenue = 1 AND ta.amount > 0;"
G038,How many payment vouchers did we process last month?,SELECT SUM(-ti.amount) FROM trn_inventory ti JOIN trn_voucher tv ON ti.guid = tv.guid WHERE tv.date BETWEEN '2020-09-01' AND '2020-12-31' AND tv.voucher_type = 'Purchase';
G039,Show me all items that currently have zero stock on hand.,SELECT COUNT(*) FROM trn_voucher WHERE voucher_type = 'Payment' AND date >= '2020-04-01' AND date < '2020-04-30';
G040,What's the total quantity of stock that came in this month?,SELECT name FROM mst_stock_item WHERE closing_balance = 0;
G041,What's the total quantity of stock that went out (sales) this month?,SELECT SUM(ti.quantity) FROM trn_inventory AS ti JOIN trn_voucher AS tv ON ti.guid = tv.guid WHERE tv.date >= '2020-04-01' AND tv.date < '2020-04-30' AND ti.quantity > 0;
G042,What's the total quantity and value of stock returns (sales returns) this year?,SELECT SUM(ABS(ti.quantity)) FROM trn_inventory AS ti JOIN trn_voucher AS tv ON ti.guid = tv.guid WHERE tv.date >= '2020-04-01' AND tv.date < '2020-04-30' AND ti.quantity < 0;
G043,⁠Top 10 Product Sales,"SELECT
 SUM(ti.quantity) AS total_quantity,
 SUM(ti.amount) AS total_value
FROM trn_inventory ti
JOIN trn_voucher tv
 ON ti.guid = tv.guid
JOIN mst_vouchertype vt
 ON tv._voucher_type = vt.guid
WHERE ti.quantity > 0
AND vt.parent IN (
 'Credit Note - BPOS',
 'Credit Note-Goods Rtn',
 'Credit Note'
)
AND tv.date BETWEEN '2020-04-01' AND '2021-03-31';"
G044,⁠Not moving Inventory since last 1 year.,"SELECT msi.name, SUM(ti.amount) AS total_sales_value FROM trn_inventory AS ti JOIN mst_stock_item AS msi ON ti._item = msi.guid WHERE ti.quantity < 0 GROUP BY msi.name ORDER BY total_sales_value DESC LIMIT 10;"
G045,Top 10 Customers Payment Performance Report,"WITH ItemMovement AS (
 SELECT
 ti._item,
 SUM(ABS(ti.quantity)) AS qty_movement
 FROM
 trn_inventory ti
 JOIN
 trn_voucher tv ON ti.guid = tv.guid
 WHERE
 tv.date BETWEEN '2020-04-01' AND '2021-03-31'
 GROUP BY
 ti._item
)
SELECT
 msi.name AS item_name,
 COALESCE(msi.closing_balance,0) AS closing_quantity,
 COALESCE(msi.closing_value,0) AS closing_value
FROM
 mst_stock_item msi
LEFT JOIN
 ItemMovement im ON msi.guid = im._item
WHERE
 COALESCE(im.qty_movement,0) = 0
ORDER BY
 msi.name;"
G046,Generate monthly sales and purchase summary by vendor  <VENDOR_NAME>,"SELECT ml.name AS customer_name, SUM(-ta.amount) AS total_payment_received FROM trn_voucher AS tv JOIN trn_accounting AS ta ON tv.guid = ta.guid JOIN mst_ledger AS ml ON ta._ledger = ml.guid JOIN mst_vouchertype AS mvt ON tv._voucher_type = mvt.guid WHERE tv.date >= '2020-04-01' AND tv.date <= '2021-03-31' AND mvt.name = 'Receipt' AND ta._ledger = tv._party_name GROUP BY ml.name ORDER BY total_payment_received DESC LIMIT 10;"
G047,Find items with no sales activity since last quarter,"SELECT TO_CHAR(tv.date, 'YYYY-MM') AS transaction_month, ml.name AS vendor_name, tv.voucher_type AS transaction_type, SUM(ta.amount) AS total_amount FROM trn_voucher AS tv JOIN trn_accounting AS ta ON tv.guid = ta.guid JOIN mst_ledger AS ml ON tv._party_name = ml.guid AND ta._ledger = ml.guid WHERE tv.voucher_type IN ('Sales', 'Purchase') GROUP BY transaction_month, vendor_name, transaction_type ORDER BY transaction_month, vendor_name, transaction_type;"
G048,Sales performance of <ITEM_NAME>,SELECT T1.name FROM mst_stock_item AS T1 WHERE T1.guid NOT IN ( SELECT T2._item FROM trn_inventory AS T2 JOIN trn_voucher AS T3 ON T2.guid = T3.guid WHERE T3.date BETWEEN '2021-01-01' AND '2021-03-31' AND T2.quantity < 0 );
G049,Show me movement of <ITEM_NAME>,"SELECT
 tv.date,
 tv.voucher_number,
 tv.party_name,
 si.name AS item_name,
 ABS(ti.quantity) AS quantity_sold,
 ABS(ti.rate) AS rate,
 ABS(ti.amount) AS sales_value
FROM trn_inventory ti
JOIN mst_stock_item si
 ON ti._item = si.guid
JOIN trn_voucher tv
 ON ti.guid = tv.guid
JOIN mst_vouchertype mv
 ON tv.voucher_type = mv.name
WHERE
 si.name = 'AASTHA CAMPHOR 25 GM'
 AND mv.parent = 'Sales'
 AND ti.quantity < 0
ORDER BY
 tv.date,
 tv.voucher_number;"
G050,Find all accounts with negative purchase ledger balance,"SELECT *
FROM (
 /* Opening Stock Row */
 SELECT
 DATE '2020-04-01' AS Date,
 'Opening' AS Voucher,
 '' AS Party,
 si.name AS Item,
 0 AS outward_qty,
 0 AS outward_rate,
 0 AS outward_value,
 ABS(si.opening_balance) AS inward_qty,
 ABS(si.opening_rate) AS inward_rate,
 ABS(si.opening_balance * si.opening_rate) AS inward_value
 FROM mst_stock_item si
 WHERE si.name = 'AASTHA CAMPHOR 25 GM'
 UNION ALL
 /* Stock Movements */
 SELECT
 tv.date,
 tv.voucher_number,
 tv.party_name,
 si.name,
 CASE WHEN ti.quantity < 0 THEN ABS(ti.quantity) ELSE 0 END,
 CASE WHEN ti.quantity < 0 THEN ABS(ti.rate) ELSE 0 END,
 CASE WHEN ti.quantity < 0 THEN ABS(ti.amount) ELSE 0 END,
 CASE WHEN ti.quantity > 0 THEN ABS(ti.quantity) ELSE 0 END,
 CASE WHEN ti.quantity > 0 THEN ABS(ti.rate) ELSE 0 END,
 CASE WHEN ti.quantity > 0 THEN ABS(ti.amount) ELSE 0 END
 FROM trn_inventory ti
 JOIN mst_stock_item si ON ti._item = si.guid
 JOIN trn_voucher tv ON ti.guid = tv.guid
 JOIN mst_vouchertype mv ON tv.voucher_type = mv.name
 WHERE
 si.name = 'AASTHA CAMPHOR 25 GM'
 AND tv.is_order_voucher = 0
 /* FINAL FIX: Exclude DN & RN via PARENT */
 AND mv.parent NOT IN ('Delivery Note', 'Receipt Note')
) stock_ledger
ORDER BY Date, Voucher;"
G051,What percentage of our sales were cash sales versus credit sales?,"SELECT name, closing_balance FROM mst_ledger WHERE parent = 'Sundry Creditors' AND closing_balance < 0;"
G052,Party wise Products wise Sale report,"SELECT COALESCE(ROUND((SUM(CASE WHEN tv.party_name = 'Cash' THEN ta.amount ELSE 0 END) * 100.0) / NULLIF(SUM(CASE WHEN tv.party_name = 'Cash' THEN ta.amount ELSE 0 END) + SUM(CASE WHEN tv.party_name <> 'Cash' THEN ta.amount ELSE 0 END), 0), 2), 0.0) AS cash_sales_percentage, COALESCE(ROUND((SUM(CASE WHEN tv.party_name <> 'Cash' THEN ta.amount ELSE 0 END) * 100.0) / NULLIF(SUM(CASE WHEN tv.party_name = 'Cash' THEN ta.amount ELSE 0 END) + SUM(CASE WHEN tv.party_name <> 'Cash' THEN ta.amount ELSE 0 END), 0), 2), 0.0) AS credit_sales_percentage FROM trn_voucher AS tv JOIN trn_accounting AS ta ON tv.guid = ta.guid WHERE tv.voucher_type = 'Sales' AND ta.amount > 0;"
