id,question,query,language
cash_position_total__0_hi_0,अभी मेरे पास हाथ में कुल कितनी नकदी है?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hi
cash_position_total__0_hi_1,मेरे कैश-इन-हैंड का कुल बैलेंस क्या है?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hi
cash_position_total__0_hi_2,इस समय मेरे पास कुल नकद कितना है?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hi
cash_position_total__0_hi_3,मेरी सभी नकद खाताओं का कुल योग बताइए।,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hi
cash_position_total__0_hi_4,अभी के समय मेरे हाथ में कितना नकद है?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hi
cash_position_total__0_hi_5,कुल नकदी शेष कितना है मेरे पास?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hi
cash_position_total__0_hi_6,हाथ में मौजूद कुल नकद राशि क्या है?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hi
cash_position_total__0_hi_7,मेरे सभी कैश लेजर का कुल बैलेंस दिखाइए।,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hi
cash_position_total__0_hi_8,आज की तारीख में मेरे पास कितना नकद उपलब्ध है?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hi
cash_position_total__0_hi_9,मेरे कैश-इन-हैंड का कुल जोड़ क्या है?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hi
cash_position_total__0_gu_0,અત્યારે મારી પાસે કુલ કેટલી રોકડ છે?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",gu
cash_position_total__0_gu_1,મારા cash-in-hand ખાતાઓનો કુલ બૅલૅન્સ શું છે?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",gu
cash_position_total__0_gu_2,હાલ મારી પાસે હાથ-નકદ કેટલી છે?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",gu
cash_position_total__0_gu_3,મારા બધા રોકડ ખાતાઓનો સરવાળો બતાવો.,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",gu
cash_position_total__0_gu_4,અત્યારે મારી પાસે કેટલી રોકડ ઉપલબ્ધ છે?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",gu
cash_position_total__0_gu_5,કુલ રોકડ-ઈન-હૅન્ડ બૅલૅન્સ કેટલો છે?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",gu
cash_position_total__0_gu_6,મારા cash ledger નો કુલ આંકડો શું છે?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",gu
cash_position_total__0_gu_7,હાથ-નકદ ખાતાઓ મળીને કેટલો બૅલૅન્સ છે?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",gu
cash_position_total__0_gu_8,આ ક્ષણે મારી cash-in-hand કેટલી છે?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",gu
cash_position_total__0_gu_9,Cash-in-hand ગ્રૂપ નો કુલ closing balance શું છે?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",gu
cash_position_total__0_hinglish_0,abhi mere paas total kitna cash in hand hai?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hinglish
cash_position_total__0_hinglish_1,mera cash-in-hand ka total balance kya hai?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hinglish
cash_position_total__0_hinglish_2,haath mein kitna cash hai abhi?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hinglish
cash_position_total__0_hinglish_3,mere sare cash ledgers ka total kya hai?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hinglish
cash_position_total__0_hinglish_4,cash in hand ka sum kya hai mere accounts mein?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hinglish
cash_position_total__0_hinglish_5,bhai kitna cash available hai haath mein?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hinglish
cash_position_total__0_hinglish_6,abhi ke time mera total naqdaa kya hai?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hinglish
cash_position_total__0_hinglish_7,mera cash-in-hand balance aaj kitna hai?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hinglish
cash_position_total__0_hinglish_8,total cash in hand dikhao mujhe.,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hinglish
cash_position_total__0_hinglish_9,mere paas kitni naqdaa hai iss waqt?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",hinglish
cash_position_detail__0_en_0,Show cash balance for each cash ledger.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",en
cash_position_detail__0_en_1,List the closing balance of every cash ledger.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",en
cash_position_detail__0_en_2,Break down cash balances ledger by ledger.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",en
cash_position_detail__0_en_3,What is the individual cash balance for each ledger under cash-in-hand?,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",en
cash_position_detail__0_en_4,Show me cash balance details for all cash accounts.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",en
cash_position_detail__0_en_5,Give a ledger-wise breakup of cash-in-hand balances.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",en
cash_position_detail__0_en_6,Display each cash ledger and its current balance.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",en
cash_position_detail__0_en_7,I need cash balances for each ledger separately.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",en
cash_position_detail__0_en_8,List all cash ledgers with their respective balances.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",en
cash_position_detail__0_en_9,Show individual balances for all cash-in-hand accounts.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",en
cash_position_detail__0_hi_0,प्रत्येक नकद खाते का बैलेंस दिखाइए।,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hi
cash_position_detail__0_hi_1,हर कैश लेजर का अलग-अलग बैलेंस क्या है?,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hi
cash_position_detail__0_hi_2,सभी नकद लेजर की सूची और उनका बैलेंस दिखाएं।,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hi
cash_position_detail__0_hi_3,प्रत्येक कैश-इन-हैंड खाते का क्लोजिंग बैलेंस बताइए।,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hi
cash_position_detail__0_hi_4,सभी कैश खातों का व्यक्तिगत बैलेंस दिखाएं।,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hi
cash_position_detail__0_hi_5,लेजरवार नकद बैलेंस की जानकारी दीजिए।,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hi
cash_position_detail__0_hi_6,हर कैश लेजर का शेष राशि अलग-अलग दिखाइए।,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hi
cash_position_detail__0_hi_7,नकद-इन-हैंड ग्रुप के सभी खातों का बैलेंस सूची दें।,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hi
cash_position_detail__0_hi_8,प्रत्येक कैश लेजर का बैलेंस कितना है?,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hi
cash_position_detail__0_hi_9,सभी नकद खातों की लेजरवार सूची बनाइए।,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hi
cash_position_detail__0_gu_0,દરેક રોકડ ખાતાનો બૅલૅન્સ બતાવો.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",gu
cash_position_detail__0_gu_1,Cash-in-hand ગ્રૂપ હેઠળ દરેક ledger નો balance શું છે?,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",gu
cash_position_detail__0_gu_2,બધા cash ledger ની અલગ-અલગ યાદી બતાવો.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",gu
cash_position_detail__0_gu_3,દરેક રોકડ ખાતાનો closing balance જણાવો.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",gu
cash_position_detail__0_gu_4,Cash-in-hand ના બધા ledger અને તેના balance ની માહિતી.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",gu
cash_position_detail__0_gu_5,Ledger મુજબ cash balance નો વિગત.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",gu
cash_position_detail__0_gu_6,દરેક cash account નો balance કેટલો છે?,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",gu
cash_position_detail__0_gu_7,Cash-in-hand હેઠળ બધા ખાતાઓ ની balance list.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",gu
cash_position_detail__0_gu_8,Cash ledger-wise balance report બતાવો.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",gu
cash_position_detail__0_gu_9,Cash ખાતાઓ ની ledger-wise balance detail.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",gu
cash_position_detail__0_hinglish_0,har cash ledger ka alag-alag balance dikhao.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hinglish
cash_position_detail__0_hinglish_1,cash-in-hand ke har account ka balance kya hai?,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hinglish
cash_position_detail__0_hinglish_2,ledger-wise cash balance ki list chahiye.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hinglish
cash_position_detail__0_hinglish_3,sabhi cash ledgers ka individual balance batao.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hinglish
cash_position_detail__0_hinglish_4,har cash account ka closing balance kya hai?,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hinglish
cash_position_detail__0_hinglish_5,cash ledger-wise breakup dikhao bhai.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hinglish
cash_position_detail__0_hinglish_6,mujhe har ledger ka cash balance chahiye alag se.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hinglish
cash_position_detail__0_hinglish_7,cash accounts ki list aur unka balance dikhao.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hinglish
cash_position_detail__0_hinglish_8,har ek cash ledger ka balance kya hai?,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hinglish
cash_position_detail__0_hinglish_9,cash-in-hand ke sabhi khate ka balance batao.,"SELECT ml.name AS ledger, ml.closing_balance AS balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand'
ORDER BY ml.closing_balance DESC;",hinglish
bank_balance_total__0_en_0,What is my total bank balance across all accounts?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",en
bank_balance_total__0_en_1,How much money do I have in all my bank accounts combined?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",en
bank_balance_total__0_en_2,Tell me the combined balance of all bank accounts.,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",en
bank_balance_total__0_en_3,What's the total balance across all my banking ledgers?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",en
bank_balance_total__0_en_4,Give me the sum total of all bank account balances.,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",en
bank_balance_total__0_en_5,How much is in the bank in total?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",en
bank_balance_total__0_en_6,What is the overall bank balance I have right now?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",en
bank_balance_total__0_en_7,Total bank balance across all accounts — show me.,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",en
bank_balance_total__0_en_8,What's my aggregate bank balance today?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",en
bank_balance_total__0_en_9,Sum up all my bank account balances.,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",en
bank_balance_total__0_hi_0,मेरे सभी बैंक खातों का कुल बैलेंस कितना है?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",hi
bank_balance_total__0_hi_1,सभी बैंक अकाउंट्स मिलाकर कितना पैसा है?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",hi
bank_balance_total__0_hi_2,मेरे बैंक खातों का कुल जोड़ बताइए।,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",hi
bank_balance_total__0_hi_3,अभी मेरे सभी बैंक खातों में कुल कितनी राशि है?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",hi
bank_balance_total__0_hi_4,सभी बैंक लेजर का कुल बैलेंस क्या है?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",hi
bank_balance_total__0_hi_5,मेरा टोटल बैंक बैलेंस कितना है?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",hi
bank_balance_total__0_hi_6,बैंक में कुल कितना पैसा जमा है मेरा?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",hi
bank_balance_total__0_hi_7,सभी बैंक अकाउंट्स का मिला-जुला बैलेंस दिखाइए।,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",hi
bank_balance_total__0_hi_8,मेरे समस्त बैंक खातों का कुल शेष क्या है?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",hi
bank_balance_total__0_hi_9,बैंक अकाउंट्स का कुल बैलेंस कितना है?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",hi
bank_balance_total__0_gu_0,મારા બધા બૅન્ક ખાતાઓ મળીને કુલ બૅલૅન્સ કેટલો છે?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",gu
bank_balance_total__0_gu_1,તમામ bank accounts નો combined balance કેટલો છે?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",gu
bank_balance_total__0_gu_2,મારી Bank Accounts ગ્રૂપ નો total balance કેટલો?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",gu
bank_balance_total__0_gu_3,બધા bank ledger નો balance ઉમેરીને કેટલો આવે?,"SELECT SUM(ml.closing_balance) AS total_bank_balance
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Bank Accounts';",gu
